match_id,date,team,opponent,player_id,player,position,started,minutes,goals,assists,yellow,red,rating,xg,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,527319,Raul Rangel,GK,1,97,0,0,0,0,6.8,0.0,0,0,30,26,0,36,0,0,0,0,0,0,0,2
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,447634,Israel Reyes,DR,1,97,0,0,0,0,7.0,0.02,1,0,42,38,2,57,0,1,1,0,0,3,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,425115,Johan Vasquez,DC,1,97,0,0,0,0,7.0,0.0,0,0,81,75,0,88,1,1,3,0,0,3,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,447631,Cesar Montes,DC,1,97,0,0,0,1,5.9,0.0,0,0,65,60,0,73,0,1,2,0,2,3,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,252248,Jesus Gallardo,DL,1,97,0,0,0,0,7.0,0.05,2,0,45,34,0,73,0,3,3,0,1,3,1,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,447638,Erik Lira,DMC,1,75,0,1,0,0,7.4,0.0,0,0,45,42,1,51,2,1,1,0,0,1,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,447636,Roberto Alvarado,MR,1,97,0,1,0,0,8.2,0.0,0,0,35,32,2,52,6,0,0,2,2,0,2,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,452407,Alvaro Fidalgo,MC,1,65,0,0,0,0,6.6,0.0,0,0,34,30,1,40,0,0,0,1,0,0,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,396565,Brian Gutierrez,MC,1,65,0,0,1,0,6.3,0.2,4,0,23,20,3,36,0,0,0,0,2,0,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,509557,Julian Quinones,ML,1,78,1,0,0,0,8.7,0.62,5,2,33,28,2,50,0,0,0,5,1,0,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,108186,Raul Jimenez,FW,1,75,1,0,0,0,8.0,0.77,4,2,19,15,2,32,1,0,5,0,1,1,1,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,447639,Alexis Vega,Sub,0,19,0,0,0,0,6.0,0.0,0,0,10,10,0,14,0,0,0,0,0,0,1,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,447642,Luis Chavez,Sub,0,32,0,0,0,0,6.4,0.0,0,0,28,28,0,35,2,0,0,0,1,1,1,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,322696,Edson Alvarez,Sub,0,22,0,0,0,0,6.2,0.0,0,0,15,14,0,17,1,0,0,0,0,0,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,550680,Gilberto Mora,Sub,0,32,0,0,0,0,6.4,0.0,0,0,14,14,0,21,0,1,0,1,1,0,2,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,579163,Armando Gonzalez,Sub,0,22,0,0,0,0,6.0,0.0,0,0,1,1,0,4,0,0,0,0,1,0,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,99002,Ronwen Williams,GK,1,97,0,0,0,0,6.6,0.0,0,0,40,28,0,55,0,1,0,0,0,3,0,2
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,457250,Khuliso Mudau,DR,1,97,0,0,0,0,6.3,0.0,0,0,29,25,0,47,5,1,0,0,2,2,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,457254,Nkosinathi Sibisi,DC,1,97,0,0,1,0,5.6,0.0,0,0,50,41,0,57,0,1,0,0,1,1,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,563880,Mbekezeli Mbokazi,DC,1,97,0,0,0,0,6.5,0.02,1,1,30,23,1,53,2,1,0,0,1,4,3,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,504648,Ime Okon,DC,1,97,0,0,0,0,6.2,0.0,0,0,49,45,0,61,2,0,1,0,0,6,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,452622,Aubrey Modiba,DL,1,76,0,0,0,0,6.0,0.02,1,1,15,12,0,31,4,0,0,0,2,0,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,386978,Yaya Sithole,MC,1,97,0,0,0,1,4.2,0.0,0,0,19,17,0,24,2,1,1,0,3,0,2,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,456637,Jayden Adams,MC,1,60,0,0,0,0,6.1,0.0,0,0,20,16,0,25,0,0,0,1,0,0,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,457247,Teboho Mokoena,MC,1,97,0,0,1,0,5.7,0.0,0,0,42,39,1,57,2,2,2,0,1,1,0,0
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,371447,Lyle Foster,FW,1,55,0,0,0,0,5.8,0.02,1,0,5,1,0,11,1,0,0,0,0,0,0,0
