pid,name,team,pos,mp,starts,mins,g,a,yc,rc,rating_best,xg,progPasses,xa,gConcOn,blocks,clrBox,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,posList,ga,rating,pass_pct,xg_diff,xga,xga90,gPrev
300713,Kylian Mbappe,France,FW,8,8,730,10,4,1,0,9.9,8.17,20,0.98,10,0,0,41,23,235,201,18,387,5,0,1,16,6,0,14,0,FW,14,8.19,86,1.83,10.21,1.26,0.21
11119,Lionel Messi,Argentina,FW,8,7,781,8,4,0,0,10.0,5.1,30,3.4,7,0,0,35,18,349,286,25,582,13,1,2,27,3,1,26,0,FW,12,8.82,82,2.9,5.9,0.68,-1.1
379868,Jude Bellingham,England,AMC,8,7,650,7,1,1,0,9.4,4.86,22,0.75,9,0,8,19,13,232,190,8,382,18,3,1,18,9,10,15,0,AMC/MC,8,7.75,82,2.14,7.07,0.98,-1.93
299513,Ousmane Dembele,France,AMR,8,7,613,6,2,0,0,9.4,1.95,20,1.86,6,0,1,20,10,293,232,18,410,8,0,2,7,0,2,6,0,AMR/AMC,8,7.55,79,4.05,7.42,1.09,1.42
315227,Erling Haaland,Norway,FW,5,5,500,7,0,0,0,8.9,5.51,4,0.48,7,0,8,20,13,56,35,6,122,1,1,17,1,5,8,8,0,FW,7,8.12,62,1.49,8.64,1.56,1.64
83532,Harry Kane,England,FW,7,7,683,6,1,0,0,8.7,4.07,14,0.88,8,3,8,23,12,106,76,5,190,5,1,10,2,8,8,8,0,FW,7,7.23,72,1.93,7.05,0.93,-0.95
371281,Michael Olise,France,AMC,8,8,680,0,7,1,0,9.5,2.47,46,2.53,10,0,0,20,5,410,355,17,594,22,3,1,16,5,0,13,0,AMC/AMR,7,7.61,87,-2.47,9.2,1.22,-0.8
298839,Mikel Oyarzabal,Spain,FW,8,8,619,5,1,0,0,9.6,3.96,6,0.74,1,0,5,23,12,152,127,6,248,8,1,6,2,4,5,10,0,FW,6,7.17,84,1.04,2.57,0.37,1.57
367185,Bukayo Saka,England,MR,7,3,386,3,3,0,0,9.3,2.43,6,0.53,5,0,4,13,7,98,79,8,206,13,1,1,7,4,3,6,0,MR/AMR,6,7.3,81,0.57,5.98,1.4,0.98
337782,Vinicius Junior,Brazil,FWL,5,5,477,4,1,0,0,9.4,3.69,7,1.4,4,0,0,17,11,143,121,9,252,4,1,0,16,4,0,6,0,FWL/AML/FW,5,7.88,85,0.31,4.02,0.76,0.02
509557,Julian Quinones,Mexico,FWL,5,5,416,4,1,0,0,8.7,2.1,12,0.28,3,0,3,14,6,136,112,10,220,6,0,3,6,5,3,13,0,FWL/ML,5,7.6,82,1.9,3.25,0.7,0.25
322670,Ismaila Sarr,Senegal,AMR,4,4,385,4,1,0,0,8.4,4.95,8,0.18,7,2,3,17,6,75,56,5,143,4,2,7,2,1,4,3,0,AMR/FW,5,7.45,75,-0.95,6.49,1.52,-0.51
532577,Johan Manzambi,Switzerland,AMC,4,2,213,3,2,0,0,8.2,1.02,3,0.31,3,0,3,6,3,55,43,3,99,3,0,1,5,3,3,3,0,AMC,5,7.38,78,1.98,1.68,0.71,-1.32
357091,Deniz Undav,Germany,FW,4,1,166,3,2,0,0,8.4,1.55,1,0.37,2,0,0,6,4,31,23,7,44,1,0,1,0,3,0,1,0,FW,5,7.2,74,1.45,2.51,1.36,0.51
352825,Cody Gakpo,Netherlands,FWL,4,4,368,3,1,0,0,10.0,1.82,7,0.58,4,0,0,10,6,103,76,3,169,5,2,8,3,3,0,4,0,FWL/AMC,4,7.58,74,1.18,4.1,1.0,0.1
386390,Charles De Ketelaere,Belgium,FW,5,5,357,3,1,0,0,9.4,2.04,5,0.39,6,0,5,6,5,103,73,6,179,9,5,13,4,2,5,5,0,FW,4,7.34,71,0.96,5.45,1.37,-0.55
