match_id,date,stage,venue,home,away,home_score,away_score,home_xg,away_xg,xg_source,home_xg_model,away_xg_model,home_xg_fotmob,away_xg_fotmob
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Group Stage,Mexico City Stadium,Mexico,South Africa,2,0,1.51,0.08,avg,1.65,0.08,1.37,0.07
2026_06_12_Canada_vs_Bosnia_and_Herzegovina,2026-06-12,Group Stage,Toronto Stadium,Canada,Bosnia and Herzegovina,1,1,1.48,1.11,avg,1.3,1.22,1.66,1.0
2026_06_12_South_Korea_vs_Czechia,2026-06-12,Group Stage,Estadio Guadalajara,South Korea,Czechia,2,1,2.41,0.93,avg,2.19,0.78,2.62,1.08
2026_06_13_Brazil_vs_Morocco,2026-06-13,Group Stage,New York New Jersey Stadium,Brazil,Morocco,1,1,1.19,1.25,avg,0.98,1.2,1.41,1.29
2026_06_13_Qatar_vs_Switzerland,2026-06-13,Group Stage,San Francisco Bay Area Stadium,Qatar,Switzerland,1,1,0.58,3.93,avg,0.52,3.61,0.65,4.25
2026_06_13_USA_vs_Paraguay,2026-06-13,Group Stage,Los Angeles Stadium,USA,Paraguay,4,1,2.32,0.76,avg,2.18,0.76,2.45,0.76
2026_06_14_Australia_vs_Turkiye,2026-06-14,Group Stage,BC Place Vancouver,Australia,Turkiye,2,0,0.84,2.13,avg,0.88,2.03,0.81,2.24
2026_06_14_Germany_vs_Curacao,2026-06-14,Group Stage,Houston Stadium,Germany,Curacao,7,1,4.34,0.3,avg,4.23,0.33,4.45,0.27
2026_06_14_Haiti_vs_Scotland,2026-06-14,Group Stage,Boston Stadium,Haiti,Scotland,0,1,1.16,1.36,avg,1.15,1.28,1.17,1.45
2026_06_14_Netherlands_vs_Japan,2026-06-14,Group Stage,Dallas Stadium,Netherlands,Japan,2,2,0.68,0.44,avg,0.53,0.43,0.83,0.45
2026_06_14_Sweden_vs_Tunisia,2026-06-14,Group Stage,Estadio Monterrey,Sweden,Tunisia,5,1,2.08,0.26,avg,2.2,0.31,1.96,0.2
2026_06_15_Belgium_vs_Egypt,2026-06-15,Group Stage,Seattle Stadium,Belgium,Egypt,1,1,1.48,1.35,avg,1.51,1.29,1.46,1.41
2026_06_15_Ivory_Coast_vs_Ecuador,2026-06-15,Group Stage,Philadelphia Stadium,Ivory Coast,Ecuador,1,0,1.89,1.05,avg,1.71,1.01,2.06,1.09
2026_06_15_Spain_vs_Cape_Verde,2026-06-15,Group Stage,Atlanta Stadium,Spain,Cape Verde,0,0,2.29,0.46,avg,2.21,0.5,2.37,0.42
2026_06_16_France_vs_Senegal,2026-06-16,Group Stage,New York New Jersey Stadium,France,Senegal,3,1,1.9,1.06,avg,1.9,1.04,1.89,1.09
2026_06_16_Iran_vs_New_Zealand,2026-06-16,,,Iran,New Zealand,2,2,1.59,1.47,model,1.59,1.47,,
2026_06_16_Iraq_vs_Norway,2026-06-16,Group I,Boston Stadium,Iraq,Norway,1,4,1.34,3.18,avg,0.94,3.01,1.75,3.35
2026_06_16_Saudi_Arabia_vs_Uruguay,2026-06-16,Group Stage,Miami Stadium,Saudi Arabia,Uruguay,1,1,0.84,1.85,avg,0.77,1.63,0.92,2.07
2026_06_17_Argentina_vs_Algeria,2026-06-17,Group Stage,Kansas City Stadium,Argentina,Algeria,3,0,1.02,0.31,avg,0.94,0.4,1.09,0.22
2026_06_17_Austria_vs_Jordan,2026-06-17,Group Stage,,Austria,Jordan,3,1,2.13,0.6,model,2.13,0.6,,
2026_06_17_England_vs_Croatia,2026-06-17,Group Stage,,England,Croatia,4,2,3.8,1.0,model,3.8,1.0,,
2026_06_17_Portugal_vs_DR_Congo,2026-06-17,World Cup Grp. K,Houston Stadium,Portugal,DR Congo,1,1,0.57,0.85,avg,0.49,0.83,0.65,0.87
2026_06_18_Czechia_vs_South_Africa,2026-06-18,Group Stage,,Czechia,South Africa,1,1,1.38,1.46,model,1.38,1.46,,
2026_06_18_Ghana_vs_Panama,2026-06-18,Group Stage,,Ghana,Panama,1,0,1.19,1.19,model,1.19,1.19,,
2026_06_18_Uzbekistan_vs_Colombia,2026-06-18,Group Stage,,Uzbekistan,Colombia,1,3,1.14,1.95,model,1.14,1.95,,
2026_06_19_Canada_vs_Qatar,2026-06-19,Group Stage,,Canada,Qatar,6,0,4.02,0.11,model,4.02,0.11,,
2026_06_19_Mexico_vs_South_Korea,2026-06-19,Group Stage,,Mexico,South Korea,1,0,0.82,0.79,model,0.82,0.79,,
2026_06_19_Switzerland_vs_Bosnia_and_Herzegovina,2026-06-19,Group Stage,,Switzerland,Bosnia and Herzegovina,4,1,2.12,0.32,model,2.12,0.32,,
2026_06_19_USA_vs_Australia,2026-06-19,Group Stage,,USA,Australia,2,0,1.18,0.39,model,1.18,0.39,,
2026_06_20_Brazil_vs_Haiti,2026-06-20,Group Stage,,Brazil,Haiti,3,0,1.6,0.25,model,1.6,0.25,,
2026_06_20_Germany_vs_Ivory_Coast,2026-06-20,Group Stage,,Germany,Ivory Coast,2,1,2.65,1.45,model,2.65,1.45,,
2026_06_20_Netherlands_vs_Sweden,2026-06-20,Group Stage,,Netherlands,Sweden,5,1,2.34,1.31,model,2.34,1.31,,
2026_06_20_Scotland_vs_Morocco,2026-06-20,Group Stage,,Scotland,Morocco,0,1,0.47,1.09,model,0.47,1.09,,
2026_06_20_Turkiye_vs_Paraguay,2026-06-20,Group Stage,,Turkiye,Paraguay,0,1,2.81,0.34,model,2.81,0.34,,
2026_06_21_Belgium_vs_Iran,2026-06-21,Group Stage,,Belgium,Iran,0,0,1.71,0.45,model,1.71,0.45,,
2026_06_21_Ecuador_vs_Curacao,2026-06-21,Group Stage,,Ecuador,Curacao,0,0,3.26,0.58,model,3.26,0.58,,
2026_06_21_Spain_vs_Saudi_Arabia,2026-06-21,Group Stage,,Spain,Saudi Arabia,4,0,2.55,0.11,model,2.55,0.11,,
2026_06_21_Tunisia_vs_Japan,2026-06-21,Group Stage,,Tunisia,Japan,0,4,0.06,1.95,model,0.06,1.95,,
2026_06_22_Argentina_vs_Austria,2026-06-22,Group Stage,,Argentina,Austria,2,0,2.24,0.65,model,2.24,0.65,,
2026_06_22_France_vs_Iraq,2026-06-22,Group Stage,,France,Iraq,3,0,2.39,0.59,model,2.39,0.59,,
2026_06_22_New_Zealand_vs_Egypt,2026-06-22,Group Stage,,New Zealand,Egypt,1,3,1.52,2.74,model,1.52,2.74,,
2026_06_22_Uruguay_vs_Cape_Verde,2026-06-22,Group Stage,,Uruguay,Cape Verde,2,2,2.03,0.72,model,2.03,0.72,,
2026_06_23_England_vs_Ghana,2026-06-23,Group Stage,,England,Ghana,0,0,1.58,0.46,model,1.58,0.46,,
2026_06_23_Jordan_vs_Algeria,2026-06-23,Group Stage,,Jordan,Algeria,1,2,0.61,1.78,model,0.61,1.78,,
2026_06_23_Norway_vs_Senegal,2026-06-23,Group Stage,,Norway,Senegal,3,2,2.4,2.37,model,2.4,2.37,,
2026_06_23_Portugal_vs_Uzbekistan,2026-06-23,Group Stage,,Portugal,Uzbekistan,5,0,3.27,0.4,model,3.27,0.4,,
2026_06_24_Bosnia_and_Herzegovina_vs_Qatar,2026-06-24,Group Stage,,Bosnia and Herzegovina,Qatar,3,1,1.03,1.03,model,1.03,1.03,,
2026_06_24_Colombia_vs_DR_Congo,2026-06-24,Group Stage,,Colombia,DR Congo,1,0,1.34,0.42,model,1.34,0.42,,
2026_06_24_Panama_vs_Croatia,2026-06-24,Group Stage,,Panama,Croatia,0,1,0.69,1.31,model,0.69,1.31,,
2026_06_24_Switzerland_vs_Canada,2026-06-24,Group Stage,,Switzerland,Canada,2,1,1.45,1.52,model,1.45,1.52,,
2026_06_25_Curacao_vs_Ivory_Coast,2026-06-25,Group Stage,,Curacao,Ivory Coast,0,2,0.57,1.41,model,0.57,1.41,,
2026_06_25_Czechia_vs_Mexico,2026-06-25,Group Stage,,Czechia,Mexico,0,3,0.6,2.48,model,0.6,2.48,,
2026_06_25_Ecuador_vs_Germany,2026-06-25,Group Stage,,Ecuador,Germany,2,1,1.73,1.42,model,1.73,1.42,,
2026_06_25_Morocco_vs_Haiti,2026-06-25,Group Stage,,Morocco,Haiti,4,2,3.57,0.93,model,3.57,0.93,,
2026_06_25_Scotland_vs_Brazil,2026-06-24,World Cup Grp. C,Miami Stadium,Scotland,Brazil,0,3,1.08,3.99,avg,1.13,3.65,1.04,4.33
2026_06_25_South_Africa_vs_South_Korea,2026-06-25,Group Stage,,South Africa,South Korea,1,0,1.22,0.77,model,1.22,0.77,,
2026_06_26_Japan_vs_Sweden,2026-06-26,Group Stage,,Japan,Sweden,1,1,1.2,0.77,model,1.2,0.77,,
2026_06_26_Norway_vs_France,2026-06-26,Group Stage,,Norway,France,1,4,2.3,1.23,model,2.3,1.23,,
2026_06_26_Paraguay_vs_Australia,2026-06-26,Group Stage,,Paraguay,Australia,0,0,0.42,0.51,model,0.42,0.51,,
2026_06_26_Senegal_vs_Iraq,2026-06-26,Group Stage,,Senegal,Iraq,5,0,3.55,0.23,model,3.55,0.23,,
2026_06_26_Tunisia_vs_Netherlands,2026-06-26,Group Stage,,Tunisia,Netherlands,1,3,1.11,1.58,model,1.11,1.58,,
2026_06_26_Turkiye_vs_USA,2026-06-26,Group Stage,,Turkiye,USA,3,2,2.02,2.11,model,2.02,2.11,,
2026_06_27_Cape_Verde_vs_Saudi_Arabia,2026-06-27,Group Stage,,Cape Verde,Saudi Arabia,0,0,1.28,0.5,model,1.28,0.5,,
2026_06_27_Croatia_vs_Ghana,2026-06-27,Group Stage,,Croatia,Ghana,2,1,0.44,0.6,model,0.44,0.6,,
2026_06_27_Egypt_vs_Iran,2026-06-27,Group Stage,,Egypt,Iran,1,1,0.87,2.36,model,0.87,2.36,,
2026_06_27_New_Zealand_vs_Belgium,2026-06-27,Group Stage,,New Zealand,Belgium,1,5,0.3,3.99,model,0.3,3.99,,
2026_06_27_Panama_vs_England,2026-06-27,Group Stage,,Panama,England,0,2,0.54,2.14,model,0.54,2.14,,
2026_06_27_Uruguay_vs_Spain,2026-06-27,Group Stage,,Uruguay,Spain,0,1,0.14,0.75,model,0.14,0.75,,
2026_06_28_2A_vs_2B,2026-06-29,Group Stage,,South Africa,Canada,0,1,0.2,1.97,model,0.2,1.97,,
2026_06_28_Algeria_vs_Austria,2026-06-28,Group Stage,,Algeria,Austria,3,3,1.5,1.27,model,1.5,1.27,,
2026_06_28_Colombia_vs_Portugal,2026-06-28,Group Stage,,Colombia,Portugal,0,0,2.07,1.02,model,2.07,1.02,,
2026_06_28_DR_Congo_vs_Uzbekistan,2026-06-28,Group Stage,,DR Congo,Uzbekistan,3,1,2.36,0.2,model,2.36,0.2,,
2026_06_28_Jordan_vs_Argentina,2026-06-28,Group Stage,,Jordan,Argentina,1,3,0.61,2.29,model,0.61,2.29,,
2026_06_29_1C_vs_2F,2026-06-29,Group Stage,,Brazil,Japan,2,1,2.57,0.29,model,2.57,0.29,,
2026_06_29_1E_vs_3ABCDF,2026-06-30,Group Stage,,Germany,Paraguay,1,1,1.81,0.64,model,1.81,0.64,,
2026_06_30_1F_vs_2C,2026-06-30,Round of 32,Monterrey Stadium,Netherlands,Morocco,1,1,0.43,1.39,avg,0.63,1.38,0.23,1.4
2026_06_30_2E_vs_2I,2026-06-30,Round of 32,Dallas Stadium,Ivory Coast,Norway,1,2,1.44,2.1,avg,1.52,2.19,1.36,2.02
2026_07_01_1A_vs_3CEFHI,2026-07-01,Round of 32,Mexico City Stadium,Mexico,Ecuador,2,0,1.12,0.72,avg,1.25,0.71,1.0,0.73
2026_07_01_1G_vs_3AEHIJ,2026-07-01,Round of 32,Seattle Stadium,Belgium,Senegal,3,2,2.04,3.54,avg,2.34,3.51,1.74,3.58
2026_07_01_1I_vs_3CDFGH,2026-06-30,Round of 32,New York New Jersey Stadium,France,Sweden,3,0,3.21,0.53,avg,3.26,0.39,3.17,0.66
2026_07_01_1L_vs_3EHIJK,2026-07-01,Round of 32,Atlanta Stadium,England,DR Congo,2,1,2.4,0.76,avg,2.75,0.71,2.04,0.8
2026_07_02_1D_vs_3BEFIJ,2026-07-02,Round of 32,San Francisco Bay Area Stadium,USA,Bosnia and Herzegovina,2,0,0.93,0.36,avg,0.93,0.47,0.92,0.25
2026_07_02_1H_vs_2J,2026-07-02,Round of 32,Los Angeles Stadium,Spain,Austria,3,0,2.79,0.46,avg,2.75,0.61,2.84,0.32
