match_id,date,team,opponent,side,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg
2026_06_11_Mexico_vs_South_Africa,2026-06-11,Mexico,South Africa,home,2,0,61,16,9,556,89,2,0,2,12,57,1.44
2026_06_11_Mexico_vs_South_Africa,2026-06-11,South Africa,Mexico,away,0,2,39,3,2,360,80,0,0,7,11,32,0.09
2026_06_12_Canada_vs_Bosnia_and_Herzegovina,2026-06-12,Canada,Bosnia and Herzegovina,home,1,1,61,13,8,479,71,1,2,2,10,41,1.46
2026_06_12_Canada_vs_Bosnia_and_Herzegovina,2026-06-12,Bosnia and Herzegovina,Canada,away,1,1,39,8,4,310,64,1,0,7,20,55,0.97
2026_06_12_South_Korea_vs_Czechia,2026-06-12,South Korea,Czechia,home,2,1,61,15,10,581,86,3,2,3,9,56,2.42
2026_06_12_South_Korea_vs_Czechia,2026-06-12,Czechia,South Korea,away,1,2,39,7,4,364,69,1,0,8,16,47,0.95
2026_06_13_Brazil_vs_Morocco,2026-06-13,Brazil,Morocco,home,1,1,52,12,8,549,86,0,1,9,16,42,1.25
2026_06_13_Brazil_vs_Morocco,2026-06-13,Morocco,Brazil,away,1,1,48,14,9,517,84,1,1,7,14,48,1.33
2026_06_13_Qatar_vs_Switzerland,2026-06-13,Qatar,Switzerland,home,1,1,32,6,3,305,71,0,1,15,12,53,0.6
2026_06_13_Qatar_vs_Switzerland,2026-06-13,Switzerland,Qatar,away,1,1,68,27,17,634,87,5,5,3,11,46,3.83
2026_06_13_USA_vs_Paraguay,2026-06-13,USA,Paraguay,home,4,1,65,16,10,643,83,3,2,4,13,58,2.25
2026_06_13_USA_vs_Paraguay,2026-06-13,Paraguay,USA,away,1,4,35,10,7,346,70,1,0,7,17,57,0.68
2026_06_14_Australia_vs_Turkiye,2026-06-14,Australia,Turkiye,home,2,0,29,9,5,305,72,1,0,20,12,47,0.79
2026_06_14_Australia_vs_Turkiye,2026-06-14,Turkiye,Australia,away,0,2,71,30,20,758,88,2,2,3,4,51,2.19
2026_06_14_Germany_vs_Curacao,2026-06-14,Germany,Curacao,home,7,1,65,26,20,668,86,5,2,1,18,58,4.13
2026_06_14_Germany_vs_Curacao,2026-06-14,Curacao,Germany,away,1,7,35,8,2,365,81,0,0,13,11,40,0.31
2026_06_14_Haiti_vs_Scotland,2026-06-14,Haiti,Scotland,home,0,1,53,15,6,470,83,0,1,4,23,41,1.17
2026_06_14_Haiti_vs_Scotland,2026-06-14,Scotland,Haiti,away,1,0,47,9,4,416,81,1,2,6,21,49,1.42
2026_06_14_Netherlands_vs_Japan,2026-06-14,Netherlands,Japan,home,2,2,59,10,7,568,87,0,0,1,7,58,0.68
2026_06_14_Netherlands_vs_Japan,2026-06-14,Japan,Netherlands,away,2,2,41,10,4,387,81,0,0,5,7,38,0.44
2026_06_14_Sweden_vs_Tunisia,2026-06-14,Sweden,Tunisia,home,5,1,49,13,10,387,77,3,2,2,10,48,1.98
2026_06_14_Sweden_vs_Tunisia,2026-06-14,Tunisia,Sweden,away,1,5,51,6,3,405,77,0,0,5,8,51,0.25
2026_06_15_Belgium_vs_Egypt,2026-06-15,Belgium,Egypt,home,1,1,54,15,8,505,84,2,2,10,15,52,1.37
2026_06_15_Belgium_vs_Egypt,2026-06-15,Egypt,Belgium,away,1,1,46,15,11,432,80,1,2,6,15,48,1.33
2026_06_15_Ivory_Coast_vs_Ecuador,2026-06-15,Ivory Coast,Ecuador,home,1,0,48,15,7,495,84,1,2,4,10,60,1.88
2026_06_15_Ivory_Coast_vs_Ecuador,2026-06-15,Ecuador,Ivory Coast,away,0,1,52,12,4,526,84,1,1,4,13,46,0.98
2026_06_15_Spain_vs_Cape_Verde,2026-06-15,Spain,Cape Verde,home,0,0,74,27,15,861,89,2,2,3,10,67,2.32
2026_06_15_Spain_vs_Cape_Verde,2026-06-15,Cape Verde,Spain,away,0,0,26,6,3,306,74,1,1,13,1,40,0.42
2026_06_16_France_vs_Senegal,2026-06-16,France,Senegal,home,3,1,53,11,10,600,86,4,2,3,5,51,1.88
2026_06_16_France_vs_Senegal,2026-06-16,Senegal,France,away,1,3,47,6,3,537,85,1,2,7,9,53,1.1
2026_06_16_Iran_vs_New_Zealand,2026-06-16,Iran,New Zealand,home,2,2,49,17,9,459,75,2,0,7,10,57,1.61
2026_06_16_Iran_vs_New_Zealand,2026-06-16,New Zealand,Iran,away,2,2,51,14,10,477,82,2,0,7,8,43,1.55
2026_06_16_Iraq_vs_Norway,2026-06-16,Iraq,Norway,home,1,4,39,12,4,365,81,1,1,5,12,50,1.4
2026_06_16_Iraq_vs_Norway,2026-06-16,Norway,Iraq,away,4,1,61,12,8,578,87,2,2,2,13,50,3.3
2026_06_16_Saudi_Arabia_vs_Uruguay,2026-06-16,Saudi Arabia,Uruguay,home,1,1,34,7,4,347,72,0,0,15,11,53,0.92
2026_06_16_Saudi_Arabia_vs_Uruguay,2026-06-16,Uruguay,Saudi Arabia,away,1,1,66,27,17,681,85,1,1,3,6,54,1.88
2026_06_17_Argentina_vs_Algeria,2026-06-17,Argentina,Algeria,home,3,0,48,10,6,580,89,1,1,3,13,50,1.03
2026_06_17_Argentina_vs_Algeria,2026-06-17,Algeria,Argentina,away,0,3,52,7,3,637,91,0,0,3,8,44,0.29
2026_06_17_Austria_vs_Jordan,2026-06-17,Austria,Jordan,home,3,1,,,,618,82,,3,,,,1.99
2026_06_17_Austria_vs_Jordan,2026-06-17,Jordan,Austria,away,1,3,,,,367,71,,0,,,,0.57
2026_06_17_England_vs_Croatia,2026-06-17,England,Croatia,home,4,2,,,,508,85,,5,,,,3.94
2026_06_17_England_vs_Croatia,2026-06-17,Croatia,England,away,2,4,,,,478,84,,1,,,,1.02
2026_06_17_Portugal_vs_DR_Congo,2026-06-17,Portugal,DR Congo,home,0,0,75,7,3,827,91,0,0,3,9,43,0.53
2026_06_17_Portugal_vs_DR_Congo,2026-06-17,DR Congo,Portugal,away,0,0,25,8,5,279,77,1,0,2,10,57,0.76
2026_06_18_Czechia_vs_South_Africa,2026-06-18,Czechia,South Africa,home,1,1,39,14,6,376,78,3,2,10,12,49,1.32
2026_06_18_Czechia_vs_South_Africa,2026-06-18,South Africa,Czechia,away,1,1,61,17,12,596,88,1,0,5,10,51,1.44
2026_06_18_Ghana_vs_Panama,2026-06-18,Ghana,Panama,home,1,0,39,8,4,394,80,1,0,6,9,56,1.27
2026_06_18_Ghana_vs_Panama,2026-06-18,Panama,Ghana,away,0,1,61,11,6,629,85,2,2,4,11,44,1.05
2026_06_18_Uzbekistan_vs_Colombia,2026-06-18,Uzbekistan,Colombia,home,1,3,39,8,4,362,75,1,0,5,14,57,1.12
2026_06_18_Uzbekistan_vs_Colombia,2026-06-18,Colombia,Uzbekistan,away,3,1,61,15,8,563,85,4,1,4,11,43,1.81
2026_06_19_Canada_vs_Qatar,2026-06-19,Canada,Qatar,home,6,0,78,30,24,631,85,5,2,1,8,50,4.24
2026_06_19_Canada_vs_Qatar,2026-06-19,Qatar,Canada,away,0,6,22,3,2,175,63,0,0,18,10,50,0.17
2026_06_19_Mexico_vs_South_Korea,2026-06-19,Mexico,South Korea,home,1,0,42,8,5,454,82,2,1,5,9,46,0.93
2026_06_19_Mexico_vs_South_Korea,2026-06-19,South Korea,Mexico,away,0,1,58,9,5,619,84,3,3,4,7,54,1.12
2026_06_19_Switzerland_vs_Bosnia_and_Herzegovina,2026-06-19,Switzerland,Bosnia and Herzegovina,home,4,1,63,13,10,632,85,3,0,3,7,58,2.07
2026_06_19_Switzerland_vs_Bosnia_and_Herzegovina,2026-06-19,Bosnia and Herzegovina,Switzerland,away,1,4,37,5,4,378,78,0,0,7,18,42,0.24
2026_06_19_USA_vs_Australia,2026-06-19,USA,Australia,home,2,0,62,10,8,551,85,1,0,2,12,41,1.08
2026_06_19_USA_vs_Australia,2026-06-19,Australia,USA,away,0,2,38,6,3,340,70,0,0,7,16,59,0.38
2026_06_20_Brazil_vs_Haiti,2026-06-20,Brazil,Haiti,home,3,0,57,8,6,557,87,4,1,4,13,57,2.04
2026_06_20_Brazil_vs_Haiti,2026-06-20,Haiti,Brazil,away,0,3,43,7,4,426,82,0,0,3,14,43,0.25
2026_06_20_Germany_vs_Ivory_Coast,2026-06-20,Germany,Ivory Coast,home,2,1,59,16,11,661,88,6,4,6,5,46,2.45
2026_06_20_Germany_vs_Ivory_Coast,2026-06-20,Ivory Coast,Germany,away,1,2,41,9,7,454,85,2,1,9,7,54,1.7
2026_06_20_Netherlands_vs_Sweden,2026-06-20,Netherlands,Sweden,home,5,1,50,10,8,478,86,3,0,10,9,48,2.56
2026_06_20_Netherlands_vs_Sweden,2026-06-20,Sweden,Netherlands,away,1,5,50,16,11,470,81,1,0,3,12,52,1.37
2026_06_20_Scotland_vs_Morocco,2026-06-20,Scotland,Morocco,home,0,1,41,6,3,482,84,1,1,5,10,54,0.62
2026_06_20_Scotland_vs_Morocco,2026-06-20,Morocco,Scotland,away,1,0,59,12,6,702,89,2,1,3,8,46,1.16
2026_06_20_Turkiye_vs_Paraguay,2026-06-20,Turkiye,Paraguay,home,0,1,78,32,17,706,85,5,5,3,14,44,2.93
2026_06_20_Turkiye_vs_Paraguay,2026-06-20,Paraguay,Turkiye,away,1,0,22,7,4,202,52,0,0,17,15,56,0.38
2026_06_21_Belgium_vs_Iran,2026-06-21,Belgium,Iran,home,0,0,71,23,13,686,83,1,1,4,7,56,1.81
2026_06_21_Belgium_vs_Iran,2026-06-21,Iran,Belgium,away,0,0,29,7,4,287,72,0,0,13,9,44,0.4
2026_06_21_Ecuador_vs_Curacao,2026-06-21,Ecuador,Curacao,home,0,0,74,27,17,697,88,5,5,5,7,50,3.34
2026_06_21_Ecuador_vs_Curacao,2026-06-21,Curacao,Ecuador,away,0,0,26,10,6,245,70,0,0,17,10,50,0.59
2026_06_21_Spain_vs_Saudi_Arabia,2026-06-21,Spain,Saudi Arabia,home,4,0,67,22,10,773,90,5,2,2,10,51,3.01
2026_06_21_Spain_vs_Saudi_Arabia,2026-06-21,Saudi Arabia,Spain,away,0,4,33,4,3,387,79,0,0,7,2,49,0.14
2026_06_21_Tunisia_vs_Japan,2026-06-21,Tunisia,Japan,home,0,4,39,2,1,392,78,0,0,5,8,43,0.07
2026_06_21_Tunisia_vs_Japan,2026-06-21,Japan,Tunisia,away,4,0,61,11,8,619,88,3,1,1,15,57,2.01
2026_06_22_Argentina_vs_Austria,2026-06-22,Argentina,Austria,home,2,0,53,12,8,571,89,3,3,1,13,47,2.5
2026_06_22_Argentina_vs_Austria,2026-06-22,Austria,Argentina,away,0,2,47,6,1,504,84,1,1,7,13,53,0.63
2026_06_22_France_vs_Iraq,2026-06-22,France,Iraq,home,3,0,56,19,9,636,88,5,3,1,8,58,2.34
2026_06_22_France_vs_Iraq,2026-06-22,Iraq,France,away,0,3,44,4,1,509,85,1,1,6,4,42,0.71
2026_06_22_New_Zealand_vs_Egypt,2026-06-22,New Zealand,Egypt,home,1,3,44,11,8,460,78,3,2,10,14,40,1.54
2026_06_22_New_Zealand_vs_Egypt,2026-06-22,Egypt,New Zealand,away,3,1,56,19,13,575,86,5,3,7,8,60,2.65
2026_06_22_Uruguay_vs_Cape_Verde,2026-06-22,Uruguay,Cape Verde,home,2,2,65,17,9,573,79,2,0,6,11,45,2.07
2026_06_22_Uruguay_vs_Cape_Verde,2026-06-22,Cape Verde,Uruguay,away,2,2,35,12,8,309,72,1,0,7,4,55,0.82
2026_06_23_England_vs_Ghana,2026-06-23,England,Ghana,home,0,0,78,19,9,686,90,2,2,1,14,50,1.62
