match_id,date,team,opponent,player_id,player,position,started,minutes,goals,assists,yellow,red,rating,xg,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,10112,Igor Akinfeev,GK,1,94,0,0,0,0,6.5,0.0,0,0,22,9,0,22,0,0,0,0,0,0,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,75969,Mario Fernandes,DR,1,94,0,0,0,0,7.6,0.0,0,0,33,25,1,58,3,0,7,0,0,1,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,4288,Sergey Ignashevich,DC,1,94,0,0,0,0,8.1,0.0,0,0,36,28,0,49,3,1,8,0,0,5,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,115697,Ilya Kutepov,DC,1,94,0,0,0,0,7.3,0.0,0,0,38,26,0,46,0,0,4,0,1,5,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,7252,Yuri Zhirkov,DL,1,94,0,0,0,0,7.5,0.04,1,0,31,23,0,64,5,0,6,0,2,4,1,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,7181,Aleksandr Samedov,MR,1,63,0,0,0,0,7.0,0.11,2,0,18,14,1,30,3,0,2,1,1,1,1,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,132578,Yuri Gazinskiy,MC,1,94,1,0,0,0,8.2,0.23,1,1,31,26,0,40,2,2,2,0,2,2,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,132609,Roman Zobnin,MC,1,94,0,1,0,0,8.8,0.09,2,1,32,18,2,54,7,2,4,0,1,0,2,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,244560,Aleksandr Golovin,ML,1,94,1,2,1,0,10.0,0.09,1,1,33,23,5,67,4,3,1,1,7,0,3,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,38190,Fedor Smolov,FW,1,69,0,0,0,0,6.3,0.0,0,0,19,13,2,36,0,0,1,0,2,0,5,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,39013,Alan Dzagoev,FW,1,23,0,0,0,0,6.6,0.1,1,0,8,7,0,14,0,0,2,1,0,0,1,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,23246,Artem Dzyuba,Sub,0,25,1,1,0,0,7.4,0.34,1,1,7,7,1,11,0,0,1,0,1,0,1,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,110297,Denis Cheryshev,Sub,0,71,2,0,0,0,9.2,0.59,4,3,17,14,0,35,2,0,2,3,4,0,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,143437,Daler Kuzyaev,Sub,0,31,0,0,0,0,6.4,0.02,1,0,9,9,0,17,0,0,1,0,1,0,1,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,83906,Abdullah Al Muaiouf,GK,1,94,0,0,0,0,5.1,0.0,0,0,34,15,0,43,0,0,0,0,0,0,0,2
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,262315,Mohammed Al Burayk,DR,1,94,0,0,0,0,5.9,0.0,0,0,70,60,0,99,3,0,2,0,0,1,1,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,96083,Osama Hawsawi,DC,1,94,0,0,0,0,6.8,0.0,0,0,62,51,0,80,7,1,3,0,0,6,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,98305,Omar Hawsawi,DC,1,94,0,0,0,0,5.9,0.0,0,0,58,46,0,72,1,0,3,1,1,6,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,119927,Yasser Al Shahrani,DL,1,94,0,0,0,0,6.3,0.08,2,0,59,43,0,93,4,2,3,1,1,5,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,262233,Abdullah Otayf,DMC,1,63,0,0,0,0,5.7,0.0,0,0,57,50,0,67,2,0,0,0,0,0,1,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,126496,Yahia Al Shehri,MR,1,71,0,0,0,0,5.6,0.0,0,0,37,30,0,52,1,2,0,0,0,0,3,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,86269,Salman Al Faraj,MC,1,94,0,0,0,0,6.3,0.0,0,0,77,71,2,98,2,0,1,1,1,4,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,96143,Taiseer Al Jassam,MC,1,94,0,0,1,0,5.4,0.0,0,0,37,33,1,52,1,1,0,0,3,1,3,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,111560,Salem Al Dawsari,ML,1,94,0,0,0,0,6.0,0.05,2,0,44,39,1,71,3,1,0,1,0,0,5,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,98300,Mohammad Al Sahlawi,FW,1,83,0,0,0,0,5.9,0.04,1,0,13,9,0,19,1,0,4,0,2,0,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,107840,Hatan Bahbri,Sub,0,23,0,0,0,0,6.1,0.03,1,0,4,3,0,9,1,1,0,1,1,0,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,119936,Fahad Al Muwallad,Sub,0,31,0,0,0,0,5.7,0.0,0,0,2,2,0,5,1,0,0,0,1,0,0,0
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,126465,Muhannad Abu Radiyah,Sub,0,11,0,0,0,0,5.9,0.0,0,0,2,1,0,3,0,0,1,0,0,1,0,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,202180,Mohamed El Shenawy,GK,1,96,0,0,0,0,7.0,0.0,0,0,22,6,0,35,0,0,0,0,0,1,0,3
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,128138,Ahmed Fathy,DR,1,96,0,0,0,0,6.8,0.02,1,1,38,31,1,69,7,0,1,0,1,2,0,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,108724,Ahmed Hegazy,DC,1,96,0,0,1,0,6.9,0.0,0,0,41,29,0,59,0,4,2,0,1,8,1,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,333025,Ali Gabr,DC,1,96,0,0,0,0,6.3,0.0,0,0,22,15,0,28,0,2,1,0,0,3,0,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,83207,Mohamed Abdul Shafy,DL,1,96,0,0,0,0,6.7,0.0,0,0,49,39,0,75,1,4,0,1,1,4,0,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,125209,Mohamed Elneny,DMC,1,96,0,0,0,0,6.1,0.1,2,0,47,41,1,55,1,1,0,0,2,1,1,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,333026,Tarek Hamed,DMC,1,49,0,0,0,0,6.8,0.02,1,0,31,26,0,39,4,0,1,0,1,0,0,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,333029,Amr Warda,AMR,1,81,0,0,0,0,7.0,0.0,0,0,24,13,2,43,1,2,2,2,1,2,2,0
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,333027,Abdalla El Said,AMC,1,96,0,0,0,0,6.3,0.09,1,0,55,41,0,68,5,2,1,0,0,0,1,0
