pid,name,team,pos,mp,starts,mins,g,a,yc,rc,rating_best,xg,progPasses,xa,gConcOn,blocks,clrBox,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xga,xga90,gPrev
83532,Harry Kane,England,FW,6,6,589,6,0,0,0,9.9,3.81,13,0.66,6,0,1,14,6,146,101,4,236,3,2,32,1,4,1,6,0,6,7.73,69,2.19,6.26,0.96,0.26
80241,Antoine Griezmann,France,AMC,7,7,580,4,2,0,0,9.0,3.78,9,0.39,5,0,3,22,10,226,173,10,351,20,2,5,8,6,3,9,0,6,7.57,77,0.22,4.84,0.75,-0.16
78498,Romelu Lukaku,Belgium,FW,6,6,488,4,1,0,0,9.1,3.06,1,0.43,5,0,1,13,5,97,74,4,160,2,0,13,5,10,1,10,0,5,7.12,76,0.94,8.04,1.48,3.04
33404,Eden Hazard,Belgium,AMC,6,6,540,3,2,1,0,8.9,2.7,21,0.89,5,0,0,17,6,258,214,15,410,6,2,6,23,6,1,13,0,5,8.12,83,0.3,9.06,1.51,4.06
23246,Artem Dzyuba,Russia,Sub,5,4,339,3,2,0,0,8.6,1.73,2,0.06,6,1,6,8,4,105,70,5,181,4,1,44,3,15,6,6,0,5,7.48,67,1.27,6.15,1.63,0.15
5583,Cristiano Ronaldo,Portugal,FW,4,4,381,4,0,2,0,9.8,2.89,9,0.37,6,1,4,20,8,113,92,4,197,2,0,7,5,3,4,2,0,4,7.65,81,1.11,4.44,1.05,-1.56
300713,Kylian Mbappe,France,FW,7,6,551,4,0,2,0,9.0,2.5,6,0.9,5,0,1,9,7,145,116,10,300,6,2,3,22,1,2,11,0,4,7.53,80,1.5,4.49,0.73,-0.51
110297,Denis Cheryshev,Russia,Sub,5,3,308,4,0,0,0,9.2,1.4,6,0.01,4,0,0,13,6,74,48,0,146,10,2,7,5,7,1,3,0,4,7.16,65,2.6,4.21,1.23,0.21
24088,Mario Mandzukic,Croatia,FW,6,6,613,3,1,2,0,7.8,2.92,4,0.33,8,1,12,14,5,165,110,8,266,10,2,25,0,13,13,8,0,4,7.42,67,0.08,5.43,0.8,-2.57
70524,Ivan Perisic,Croatia,AMR,7,7,646,3,1,0,0,8.6,1.76,15,0.87,8,2,6,22,4,166,122,7,295,15,2,10,1,4,8,5,0,4,6.97,73,1.24,7.27,1.01,-0.73
80767,Philippe Coutinho,Brazil,MC,5,5,453,2,2,1,0,8.3,1.87,22,0.81,3,0,0,23,8,320,289,13,411,15,3,3,5,3,1,3,0,4,7.58,90,0.13,2.82,0.56,-0.18
71381,Wahbi Khazri,Tunisia,FW,3,3,265,2,2,0,0,8.8,1.22,1,0.7,7,0,0,10,5,75,59,8,122,3,0,2,0,2,0,2,0,4,7.57,79,0.78,6.6,2.24,-0.4
318432,Yerry Mina,Colombia,DC,3,3,310,3,0,0,0,8.6,0.51,19,0.0,1,3,12,3,3,157,142,1,209,7,2,12,1,6,20,0,0,3,8.3,90,2.49,3.68,1.07,2.68
24328,Edinson Cavani,Uruguay,FW,4,4,355,3,0,0,0,9.2,2.26,8,0.67,1,0,2,16,6,83,69,3,154,7,2,6,5,4,2,10,0,3,7.83,83,0.74,2.4,0.61,1.4
24248,Diego Costa,Spain,FW,4,4,316,3,0,0,0,8.2,2.2,3,0.17,4,0,4,9,5,65,54,4,110,2,0,4,0,2,4,11,0,3,6.97,83,0.8,3.77,1.07,-0.23
50835,Neymar,Brazil,FWL,5,5,478,2,1,1,0,8.9,4.16,14,2.26,3,1,0,27,14,242,206,24,453,7,0,2,15,4,0,25,0,3,7.98,85,-2.16,3.12,0.59,0.12
20874,Luka Modric,Croatia,DMC,7,7,707,2,1,0,0,8.7,1.96,75,0.86,8,0,1,11,4,475,415,16,624,12,8,6,9,12,2,10,0,3,7.39,87,0.04,6.78,0.86,-1.22
22221,Luis Suarez,Uruguay,FW,5,5,474,2,1,0,0,7.9,1.45,5,0.51,3,1,5,13,5,135,86,7,230,2,3,7,3,5,5,10,0,3,7.1,64,0.55,3.22,0.61,0.22
38820,Takashi Inui,Japan,AML,4,3,305,2,1,1,0,8.0,0.74,6,0.51,6,0,2,8,4,124,107,1,185,12,2,1,1,2,2,4,0,3,7.02,86,1.26,6.51,1.92,0.51
244560,Aleksandr Golovin,Russia,ML,4,4,410,1,2,1,0,10.0,0.22,8,0.56,4,0,2,3,1,132,96,7,226,15,5,3,6,16,3,9,0,3,7.65,73,0.78,4.68,1.03,0.68
11119,Lionel Messi,Argentina,AMC,4,4,378,1,2,1,0,8.3,2.06,20,0.69,9,0,0,18,6,199,161,10,314,6,2,0,15,4,0,11,0,3,7.65,81,-1.06,6.5,1.55,-2.5
104376,Thomas Meunier,Belgium,DMR,5,5,470,1,2,2,0,8.0,0.69,22,1.2,5,2,5,6,3,192,160,7,290,11,4,4,5,9,8,2,0,3,7.46,83,0.31,7.1,1.36,2.1
73084,Kevin De Bruyne,Belgium,MC,6,6,566,1,2,1,0,8.4,0.77,42,1.83,6,0,4,13,4,324,260,19,439,11,4,3,3,5,6,10,0,3,7.37,80,0.23,9.56,1.52,3.56
91989,Juan Fernando Quintero,Colombia,AMC,4,4,311,1,2,0,0,7.8,0.32,37,0.88,2,0,1,8,3,171,132,6,222,7,0,0,1,1,1,2,0,3,7.12,77,0.68,4.81,1.39,2.81
9379,Andreas Granqvist,Sweden,DC,5,5,476,2,0,0,0,8.4,1.74,26,0.03,4,12,32,6,3,175,143,4,257,5,4,9,1,9,38,0,0,2,7.44,82,0.26,4.55,0.86,0.55
91909,Son Heung-Min,South Korea,ML,3,3,288,2,0,1,0,8.0,1.28,4,0.22,3,0,4,14,3,73,63,5,154,2,1,2,8,3,4,7,0,2,7.3,86,0.72,6.7,2.09,3.7
101374,John Stones,England,DC,7,7,666,2,0,1,0,8.7,0.49,50,0.1,7,8,20,4,4,473,446,0,554,15,6,21,0,4,36,0,0,2,7.3,94,1.51,8.44,1.14,1.44
108226,Mohamed Salah,Egypt,AMR,2,2,189,2,0,0,0,7.8,1.92,3,0.18,5,0,0,6,2,37,29,4,82,3,1,0,5,1,0,5,0,2,7.25,78,0.08,3.86,1.84,-1.14
93577,Ahmed Musa,Nigeria,Sub,3,2,220,2,0,0,0,8.8,1.19,0,0.21,3,0,0,4,2,46,34,2,96,2,0,3,5,5,2,5,0,2,7.17,74,0.81,3.78,1.55,0.78
13727,Mile Jedinak,Australia,DMC,3,3,282,2,0,1,0,7.2,1.76,21,0.12,5,1,3,6,3,172,144,0,210,7,1,11,1,5,3,3,0,2,6.87,84,0.24,2.62,0.84,-2.38
14260,Sergio Aguero,Argentina,FW,4,2,193,2,0,0,0,7.4,0.62,1,0.02,3,0,0,6,3,60,47,1,91,6,0,1,0,0,0,1,0,2,6.62,78,1.38,2.47,1.15,-0.53
83078,Kieran Trippier,England,DMR,6,6,596,1,1,0,0,8.8,0.22,39,1.38,6,0,7,3,1,289,225,24,485,20,8,17,3,6,12,2,0,2,7.95,78,0.78,6.56,0.99,0.56
58761,M'Baye Niang,Senegal,FW,3,3,245,1,1,2,0,7.8,0.99,4,0.18,3,0,1,9,5,70,49,6,133,4,1,9,4,5,1,3,0,2,7.37,70,0.01,1.64,0.6,-1.36
44868,Juan Cuadrado,Colombia,AMR,4,4,340,1,1,1,0,8.3,0.54,10,0.24,2,0,2,6,1,143,122,8,240,3,2,2,9,4,6,7,0,2,7.28,85,0.46,5.48,1.45,3.48
75969,Mario Fernandes,Russia,DR,5,4,487,1,1,0,0,7.6,0.26,29,0.5,5,2,15,1,1,189,137,4,342,17,6,22,0,4,22,1,0,2,7.26,72,0.74,6.72,1.24,1.72
33064,Victor Moses,Nigeria,AMR,3,3,284,1,1,0,0,7.7,1.12,12,0.13,4,2,6,7,1,80,56,4,188,7,2,1,3,4,9,5,0,2,7.2,70,-0.12,4.46,1.41,0.46
29239,Domagoj Vida,Croatia,DC,6,6,649,1,1,1,0,7.8,0.16,31,0.08,8,4,17,3,1,300,258,1,388,7,9,11,0,2,47,0,0,2,7.13,86,0.84,5.59,0.77,-2.41
99487,Harry Maguire,England,DC,7,6,669,1,1,2,0,8.8,0.39,46,0.27,8,5,10,11,4,427,380,5,510,7,5,42,1,7,22,2,0,2,7.13,89,0.61,7.66,1.03,-0.34
318511,Hirving Lozano,Mexico,AML,4,4,325,1,1,0,0,7.8,1.05,6,0.23,5,0,0,12,2,84,70,6,179,8,2,2,11,6,1,5,0,2,7.08,83,-0.05,7.77,2.15,2.77
16032,Ola Toivonen,Sweden,FW,5,5,407,1,1,0,0,7.6,0.77,6,0.75,3,1,4,5,3,89,55,5,153,7,0,17,0,4,5,4,0,2,7.06,62,0.23,4.06,0.9,1.06
76304,Xherdan Shaqiri,Switzerland,AMR,4,4,367,1,1,1,0,7.8,0.96,11,0.75,4,1,0,13,1,172,140,10,261,8,3,0,5,3,1,2,0,2,7.05,81,0.04,5.88,1.44,1.88
69344,Christian Eriksen,Denmark,AMC,4,4,402,1,1,0,0,7.6,1.59,9,0.54,2,1,0,12,4,154,123,7,244,7,4,4,4,0,3,7,0,2,7.03,80,-0.59,6.05,1.36,4.05
6797,Paolo Guerrero,Peru,Sub,3,2,222,1,1,1,0,8.2,0.8,1,0.21,1,1,3,8,5,48,28,2,84,2,0,10,0,3,3,4,0,2,6.97,58,0.2,3.38,1.37,2.38
34302,Nacer Chadli,Belgium,Sub,6,4,339,1,1,0,0,8.2,0.55,8,0.56,2,0,9,3,2,151,136,7,242,8,1,6,4,2,11,4,0,2,6.87,90,0.45,6.9,1.83,4.9
109000,Jesse Lingard,England,MC,6,5,542,1,1,1,0,8.3,1.6,9,0.42,5,0,0,16,2,217,201,7,303,11,1,0,5,9,1,5,0,2,6.87,93,-0.6,5.37,0.89,0.37
42862,Shinji Kagawa,Japan,AMC,3,3,235,1,1,0,0,7.1,1.18,8,0.32,6,0,0,3,1,138,118,6,167,3,2,0,4,2,0,2,0,2,6.87,86,-0.18,5.49,2.1,-0.51
23100,Dries Mertens,Belgium,AMC,6,3,310,1,1,0,0,8.5,0.39,10,0.9,3,0,0,7,4,112,90,9,174,4,2,0,3,4,0,3,0,2,6.8,80,0.61,3.16,0.92,0.16
35003,Chicharito,Mexico,FW,4,4,341,1,1,0,0,7.9,0.71,3,0.12,5,0,1,7,1,63,50,6,115,4,2,3,3,2,2,6,0,2,6.78,79,0.29,7.88,2.08,2.88
35689,Gabriel Mercado,Argentina,DC,3,3,283,1,1,1,0,7.0,0.07,14,0.04,8,1,4,1,1,160,140,1,217,9,2,6,0,9,7,0,0,2,6.73,88,0.93,5.37,1.71,-2.63
24605,Keisuke Honda,Japan,Sub,3,0,64,1,1,0,0,7.2,0.8,3,0.16,1,0,0,4,2,37,29,1,53,2,0,5,0,0,0,1,0,2,6.7,78,0.2,1.52,2.14,0.52
41330,Marco Reus,Germany,Sub,3,2,230,1,1,0,0,7.7,0.27,7,0.12,3,0,0,5,1,116,96,2,153,4,0,2,0,3,0,1,0,2,6.63,83,0.73,2.81,1.1,-0.19
42435,Milan Badelj,Croatia,MC,3,1,114,1,1,0,0,8.2,0.41,8,0.02,1,0,1,2,1,75,67,3,101,5,2,0,2,4,3,1,0,2,6.63,89,0.59,2.59,2.05,1.59
99972,Viktor Claesson,Sweden,MR,5,5,452,0,2,1,0,7.7,1.01,11,0.43,3,3,5,6,1,129,94,9,246,19,10,9,5,6,9,7,0,2,7.32,73,-1.01,4.32,0.86,1.32
71182,James Rodriguez,Colombia,Sub,3,2,162,0,2,1,0,8.7,0.33,8,0.47,1,0,0,3,0,91,78,4,131,4,1,1,5,4,0,2,0,2,6.97,86,-0.33,2.05,1.14,1.05
82423,Carlos Sanchez,Uruguay,Sub,3,1,135,0,2,0,0,7.6,0.3,7,0.6,0,0,1,2,0,59,40,6,98,3,1,1,0,1,2,3,0,2,6.93,68,-0.3,0.75,0.5,0.75
139186,Lucas Hernandez,France,DL,7,7,619,0,2,2,0,7.3,0.16,20,0.4,6,0,17,4,1,202,159,4,394,16,6,12,4,8,21,7,0,2,6.93,79,-0.16,5.42,0.79,-0.58
33724,Ever Banega,Argentina,Sub,3,2,231,0,2,2,0,7.7,0.13,28,0.5,5,0,1,3,1,204,180,6,254,10,2,1,1,3,2,4,0,2,6.87,88,-0.13,3.74,1.46,-1.26
136345,Youri Tielemans,Belgium,Sub,4,2,187,0,2,1,0,7.5,0.13,13,0.11,1,0,0,4,1,108,95,5,138,12,3,1,2,5,1,1,0,2,6.83,88,-0.13,2.62,1.26,1.62
82989,Isco,Spain,ML,4,4,405,1,0,0,0,9.4,1.04,22,0.68,6,0,0,11,4,436,400,9,588,8,2,3,18,1,0,8,0,1,8.05,92,-0.04,4.24,0.94,-1.76
97635,Andre Carrillo,Peru,MR,3,3,267,1,0,0,0,7.9,0.15,3,0.3,2,0,1,3,2,92,74,6,157,4,2,3,11,2,1,8,0,1,7.43,80,0.85,3.92,1.32,1.92
135914,Jose Maria Gimenez,Uruguay,DC,4,4,380,1,0,0,0,9.6,0.12,18,0.01,3,2,20,3,2,167,143,0,232,10,6,12,1,3,27,0,0,1,7.4,86,0.88,3.06,0.73,0.06
97752,Paul Pogba,France,MC,6,6,564,1,0,1,0,8.2,0.42,45,1.28,6,1,12,7,2,296,237,9,410,18,5,19,2,14,14,15,0,1,7.4,80,0.58,4.94,0.79,-1.06
130334,Adnan Januzaj,Belgium,AMC,1,1,85,1,0,0,0,7.4,0.2,1,0.06,0,0,0,4,1,17,14,1,36,1,1,0,1,1,0,2,0,1,7.4,82,0.8,0.81,0.85,0.81
31772,Toni Kroos,Germany,DMC,3,3,289,1,0,0,0,8.6,0.83,73,0.46,4,0,0,16,5,320,296,6,387,12,0,2,3,1,0,2,0,1,7.3,92,0.17,3.83,1.19,-0.17
238993,Kendall Waston,Costa Rica,DC,1,1,95,1,0,1,0,7.3,0.34,10,0.01,2,1,4,1,1,36,32,0,54,1,3,2,0,0,6,0,0,1,7.3,89,0.66,1.58,1.5,-0.42
28550,Thiago Silva,Brazil,DC,5,5,478,1,0,0,0,8.7,1.27,32,0.03,3,5,20,7,1,299,282,1,359,5,5,10,0,2,27,0,0,1,7.28,94,-0.27,3.12,0.59,0.12
22738,Marouane Fellaini,Belgium,Sub,5,3,333,1,0,0,0,8.8,0.61,11,0.61,3,5,5,5,1,131,110,3,193,11,2,17,5,11,5,5,0,1,7.28,84,0.39,7.65,2.07,4.65
10105,Pepe,Portugal,DC,4,4,381,1,0,0,0,8.1,0.62,36,0.01,6,1,7,3,1,158,134,0,211,8,6,16,2,3,22,0,0,1,7.25,85,0.38,4.44,1.05,-1.56
22732,Ivan Rakitic,Croatia,DMC,7,6,662,1,0,1,0,8.7,1.24,46,0.77,8,2,5,16,4,416,346,10,556,19,1,12,5,9,6,7,0,1,7.23,83,-0.24,5.66,0.77,-2.34
259648,Benjamin Pavard,France,DR,6,6,570,1,0,1,0,7.5,0.31,36,0.12,6,2,17,4,2,255,212,2,402,15,9,7,1,9,30,2,0,1,7.18,83,0.69,4.96,0.78,-1.04
115279,Aleksandar Mitrovic,Serbia,FW,3,3,272,1,0,2,0,8.0,2.35,2,0.04,4,1,6,15,6,62,34,2,122,5,0,23,1,5,6,6,0,1,7.17,55,-1.35,4.69,1.55,0.69
93206,Raphael Varane,France,DC,7,7,663,1,0,0,0,8.3,0.17,67,0.03,6,4,27,4,1,325,290,0,405,3,3,23,2,2,49,3,0,1,7.13,89,0.83,5.56,0.76,-0.44
106875,Nacho,Spain,DR,2,2,163,1,0,0,0,7.4,0.03,7,0.27,4,0,1,1,1,86,83,2,126,6,3,1,1,3,3,0,0,1,7.1,97,0.97,2.45,1.35,-1.55
238698,Genki Haraguchi,Japan,AMR,3,3,249,1,0,0,0,7.8,0.51,6,0.18,5,1,5,3,1,76,67,2,135,22,2,0,0,4,6,1,0,1,7.1,88,0.49,5.01,1.81,0.01
202152,Felipe Baloy,Panama,Sub,1,0,26,1,0,0,0,7.1,0.23,1,0.0,0,0,2,1,1,16,16,0,21,0,0,1,0,0,2,0,0,1,7.1,100,0.77,0.11,0.38,0.11
323547,Youssef En-Nesyri,Morocco,Sub,1,0,25,1,0,0,0,7.1,0.06,0,0.0,1,0,0,1,1,5,3,0,7,0,0,2,0,0,0,0,0,1,7.1,60,0.94,0.78,2.81,-0.22
71547,Yuya Osako,Japan,FW,4,3,320,1,0,0,0,8.3,1.03,3,0.18,7,4,0,7,4,76,55,6,134,3,0,17,4,2,0,11,0,1,7.05,72,-0.03,6.97,1.96,-0.03
21778,Jan Vertonghen,Belgium,DC,6,6,566,1,0,2,0,8.0,0.03,65,0.01,6,1,17,2,2,315,280,0,420,17,8,13,1,5,22,3,0,1,7.03,89,0.97,9.56,1.52,3.56
67424,Grzegorz Krychowiak,Poland,MC,3,3,282,1,0,1,0,7.2,0.57,19,0.04,5,1,3,2,1,175,146,2,217,11,8,6,0,3,4,3,0,1,6.97,83,0.43,3.61,1.15,-1.39
288897,Khalid Boutaib,Morocco,FW,2,2,139,1,0,0,0,7.2,0.83,1,0.0,2,0,1,3,2,28,21,1,50,3,0,8,2,3,1,2,0,1,6.95,75,0.17,3.04,1.97,1.04
132943,Yussuf Poulsen,Denmark,AMR,3,3,274,1,0,2,0,7.7,0.38,3,0.14,2,2,3,2,1,75,53,1,139,10,3,16,5,9,4,6,0,1,6.93,71,0.62,5.38,1.77,3.38
25165,Carlos Vela,Mexico,AMC,4,4,323,1,0,0,0,7.9,1.81,8,0.41,5,0,0,10,2,108,91,12,179,4,1,2,5,3,0,6,0,1,6.9,84,-0.81,7.65,2.13,2.65
282994,Ludwig Augustinsson,Sweden,DL,5,5,476,1,0,0,0,8.1,0.39,19,0.21,4,2,9,3,1,105,74,3,225,9,1,8,0,3,23,0,0,1,6.9,70,0.61,4.55,0.86,0.55
