match_id,date,team,opponent,side,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Russia,Saudi Arabia,home,5,0,38,14,11,382,72,3,0,3,22,56,1.61
2018_06_14_Russia_vs_Saudi_Arabia,2018-06-14,Saudi Arabia,Russia,away,0,5,62,6,3,597,81,0,0,6,10,44,0.2
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Egypt,Uruguay,home,0,1,41,8,5,460,74,0,0,7,12,41,0.44
2018_06_15_Egypt_vs_Uruguay,2018-06-15,Uruguay,Egypt,away,1,0,59,15,8,639,84,3,3,5,6,59,1.64
2018_06_15_Morocco_vs_Iran,2018-06-15,Morocco,Iran,home,0,1,67,15,9,486,83,0,0,3,22,51,0.67
2018_06_15_Morocco_vs_Iran,2018-06-15,Iran,Morocco,away,1,0,33,8,3,256,59,2,2,8,14,49,0.91
2018_06_15_Portugal_vs_Spain,2018-06-15,Portugal,Spain,home,3,3,34,8,5,411,84,2,1,5,12,52,1.49
2018_06_15_Portugal_vs_Spain,2018-06-15,Spain,Portugal,away,3,3,66,12,8,786,93,1,0,2,10,48,1.66
2018_06_16_Argentina_vs_Iceland,2018-06-16,Argentina,Iceland,home,1,1,78,29,18,791,89,1,1,3,10,54,2.0
2018_06_16_Argentina_vs_Iceland,2018-06-16,Iceland,Argentina,away,1,1,22,9,4,224,64,2,1,16,15,46,1.14
2018_06_16_Croatia_vs_Nigeria,2018-06-16,Croatia,Nigeria,home,2,0,55,11,4,505,81,3,2,7,20,48,1.89
2018_06_16_Croatia_vs_Nigeria,2018-06-16,Nigeria,Croatia,away,0,2,45,15,8,428,79,0,0,3,16,52,0.63
2018_06_16_France_vs_Australia,2018-06-16,France,Australia,home,2,1,55,12,7,557,84,1,0,2,16,52,1.33
2018_06_16_France_vs_Australia,2018-06-16,Australia,France,away,1,2,45,5,3,442,79,1,0,6,19,48,0.92
2018_06_16_Peru_vs_Denmark,2018-06-16,Peru,Denmark,home,0,1,53,16,8,433,82,2,2,4,10,52,1.86
2018_06_16_Peru_vs_Denmark,2018-06-16,Denmark,Peru,away,1,0,47,10,5,386,79,2,1,8,18,48,1.1
2018_06_17_Brazil_vs_Switzerland,2018-06-17,Brazil,Switzerland,home,1,1,55,21,9,573,88,5,5,1,11,52,2.0
2018_06_17_Brazil_vs_Switzerland,2018-06-17,Switzerland,Brazil,away,1,1,45,7,2,475,80,1,0,7,19,48,0.82
2018_06_17_Costa_Rica_vs_Serbia,2018-06-17,Costa Rica,Serbia,home,0,1,53,10,7,481,81,2,2,4,18,46,0.94
