match_id,date,stage,venue,home,away,home_score,away_score,home_xg,away_xg,xg_source,home_xg_model,away_xg_model,home_xg_fotmob,away_xg_fotmob
2022_11_20_Qatar_vs_Ecuador,2022-11-20,World Cup Grp. A,Al Bayt Stadium,Qatar,Ecuador,0,2,0.35,1.1,avg,0.39,1.02,0.32,1.18
2022_11_21_England_vs_Iran,2022-11-21,World Cup Grp. B,Khalifa International Stadium,England,Iran,6,2,2.0,1.68,avg,1.9,1.6,2.11,1.75
2022_11_21_Senegal_vs_Netherlands,2022-11-21,World Cup Grp. A,Al Thumama Stadium,Senegal,Netherlands,0,2,0.8,0.92,avg,0.71,1.17,0.89,0.67
2022_11_21_USA_vs_Wales,2022-11-21,World Cup Grp. B,Ahmed bin Ali Stadium,USA,Wales,1,1,0.76,1.66,avg,0.72,1.77,0.79,1.55
2022_11_22_Argentina_vs_Saudi_Arabia,2022-11-22,World Cup Grp. C,Lusail Iconic Stadium,Argentina,Saudi Arabia,1,2,2.11,0.15,avg,1.96,0.15,2.26,0.15
2022_11_22_Denmark_vs_Tunisia,2022-11-22,World Cup Grp. D,Education City Stadium,Denmark,Tunisia,0,0,1.49,0.97,avg,1.37,1.01,1.6,0.92
2022_11_22_France_vs_Australia,2022-11-22,World Cup Grp. D,Al Janoub Stadium,France,Australia,4,1,4.08,0.51,avg,3.95,0.5,4.21,0.52
2022_11_22_Mexico_vs_Poland,2022-11-22,World Cup Grp. C,Ras Abu Aboud Stadium,Mexico,Poland,0,0,0.6,0.97,avg,0.49,1.01,0.72,0.94
2022_11_23_Belgium_vs_Canada,2022-11-23,World Cup Grp. F,Ahmed bin Ali Stadium,Belgium,Canada,1,0,0.83,2.69,avg,0.89,2.76,0.77,2.63
2022_11_23_Germany_vs_Japan,2022-11-23,World Cup Grp. E,Khalifa International Stadium,Germany,Japan,1,2,3.1,1.52,avg,3.11,1.59,3.09,1.46
2022_11_23_Morocco_vs_Croatia,2022-11-23,World Cup Grp. F,Al Bayt Stadium,Morocco,Croatia,2,1,0.56,0.75,avg,0.76,0.98,0.37,0.52
2022_11_23_Spain_vs_Costa_Rica,2022-11-23,World Cup Grp. E,Al Thumama Stadium,Spain,Costa Rica,7,0,3.37,0.0,avg,3.21,0.0,3.53,0.0
2022_11_24_Brazil_vs_Serbia,2022-11-24,World Cup Grp. G,Lusail Iconic Stadium,Brazil,Serbia,2,0,2.17,0.16,avg,1.91,0.14,2.43,0.18
2022_11_24_Portugal_vs_Ghana,2022-11-24,World Cup Grp. H,Ras Abu Aboud Stadium,Portugal,Ghana,3,2,2.28,1.16,avg,2.56,1.38,2.0,0.93
2022_11_24_Switzerland_vs_Cameroon,2022-11-24,World Cup Grp. G,Al Janoub Stadium,Switzerland,Cameroon,1,0,1.57,0.72,avg,1.7,0.7,1.44,0.74
2022_11_24_Uruguay_vs_South_Korea,2022-11-24,World Cup Grp. H,Education City Stadium,Uruguay,South Korea,0,0,0.55,0.62,avg,0.52,0.6,0.59,0.64
2022_11_25_England_vs_USA,2022-11-25,World Cup Grp. B,Al Bayt Stadium,England,USA,0,0,0.72,0.74,avg,0.67,0.85,0.77,0.63
2022_11_25_Netherlands_vs_Ecuador,2022-11-25,World Cup Grp. A,Khalifa International Stadium,Netherlands,Ecuador,1,1,0.11,1.6,avg,0.11,1.52,0.1,1.68
2022_11_25_Qatar_vs_Senegal,2022-11-25,World Cup Grp. A,Al Thumama Stadium,Qatar,Senegal,1,3,0.9,1.04,avg,0.83,1.32,0.96,0.75
2022_11_25_Wales_vs_Iran,2022-11-25,World Cup Grp. B,Ahmed bin Ali Stadium,Wales,Iran,0,2,0.88,1.64,avg,0.86,1.8,0.89,1.47
2022_11_26_Argentina_vs_Mexico,2022-11-26,World Cup Grp. C,Lusail Iconic Stadium,Argentina,Mexico,2,0,0.29,0.22,avg,0.25,0.17,0.32,0.27
2022_11_26_France_vs_Denmark,2022-11-26,World Cup Grp. D,Ras Abu Aboud Stadium,France,Denmark,2,1,2.56,0.69,avg,2.7,0.73,2.42,0.64
2022_11_26_Poland_vs_Saudi_Arabia,2022-11-26,World Cup Grp. C,Education City Stadium,Poland,Saudi Arabia,2,0,1.93,1.99,avg,2.29,2.25,1.56,1.73
2022_11_26_Tunisia_vs_Australia,2022-11-26,World Cup Grp. D,Al Janoub Stadium,Tunisia,Australia,0,1,1.05,0.47,avg,1.16,0.33,0.94,0.61
2022_11_27_Belgium_vs_Morocco,2022-11-27,World Cup Grp. F,Al Thumama Stadium,Belgium,Morocco,0,2,0.99,1.39,avg,1.03,1.3,0.96,1.48
2022_11_27_Croatia_vs_Canada,2022-11-27,World Cup Grp. F,Khalifa International Stadium,Croatia,Canada,4,1,2.61,0.46,avg,2.89,0.52,2.33,0.39
2022_11_27_Japan_vs_Costa_Rica,2022-11-27,World Cup Grp. E,Ahmed bin Ali Stadium,Japan,Costa Rica,0,1,0.85,0.13,avg,0.83,0.15,0.88,0.11
2022_11_27_Spain_vs_Germany,2022-11-27,World Cup Grp. E,Al Bayt Stadium,Spain,Germany,1,1,0.68,1.17,avg,0.79,1.13,0.57,1.22
2022_11_28_Brazil_vs_Switzerland,2022-11-28,World Cup Grp. G,Ras Abu Aboud Stadium,Brazil,Switzerland,1,0,1.12,0.31,avg,1.22,0.32,1.02,0.3
2022_11_28_Cameroon_vs_Serbia,2022-11-28,World Cup Grp. G,Al Janoub Stadium,Cameroon,Serbia,3,3,2.17,1.94,avg,2.06,2.0,2.29,1.88
2022_11_28_Portugal_vs_Uruguay,2022-11-28,World Cup Grp. H,Lusail Iconic Stadium,Portugal,Uruguay,2,0,1.32,1.23,avg,1.31,1.19,1.33,1.27
2022_11_28_South_Korea_vs_Ghana,2022-11-28,World Cup Grp. H,Education City Stadium,South Korea,Ghana,2,3,1.81,1.5,avg,1.83,1.31,1.8,1.68
2022_11_29_Ecuador_vs_Senegal,2022-11-29,World Cup Grp. A,Khalifa International Stadium,Ecuador,Senegal,1,2,0.93,2.1,avg,0.92,2.06,0.93,2.14
2022_11_29_Iran_vs_USA,2022-11-29,World Cup Grp. B,Al Thumama Stadium,Iran,USA,0,1,0.54,1.25,avg,0.65,1.31,0.42,1.18
2022_11_29_Netherlands_vs_Qatar,2022-11-29,World Cup Grp. A,Al Bayt Stadium,Netherlands,Qatar,2,0,1.81,0.17,avg,2.02,0.21,1.61,0.14
2022_11_29_Wales_vs_England,2022-11-29,World Cup Grp. B,Ahmed bin Ali Stadium,Wales,England,0,3,0.33,2.59,avg,0.32,2.73,0.35,2.46
2022_11_30_Australia_vs_Denmark,2022-11-30,World Cup Grp. D,Al Janoub Stadium,Australia,Denmark,1,0,0.49,0.66,avg,0.4,0.66,0.59,0.65
2022_11_30_Poland_vs_Argentina,2022-11-30,World Cup Grp. C,Ras Abu Aboud Stadium,Poland,Argentina,0,2,0.27,3.59,avg,0.22,3.49,0.32,3.69
2022_11_30_Saudi_Arabia_vs_Mexico,2022-11-30,World Cup Grp. C,Lusail Iconic Stadium,Saudi Arabia,Mexico,1,2,0.98,2.76,avg,0.84,3.22,1.11,2.3
2022_11_30_Tunisia_vs_France,2022-11-30,World Cup Grp. D,Education City Stadium,Tunisia,France,1,0,0.38,0.65,avg,0.29,0.53,0.46,0.76
2022_12_01_Canada_vs_Morocco,2022-12-01,World Cup Grp. F,Al Thumama Stadium,Canada,Morocco,1,2,1.22,0.55,avg,1.08,0.57,1.35,0.53
2022_12_01_Costa_Rica_vs_Germany,2022-12-01,World Cup Grp. E,Al Bayt Stadium,Costa Rica,Germany,2,4,1.39,5.62,avg,1.45,5.48,1.33,5.77
2022_12_01_Croatia_vs_Belgium,2022-12-01,World Cup Grp. F,Ahmed bin Ali Stadium,Croatia,Belgium,0,0,0.64,2.94,avg,0.57,2.82,0.7,3.07
2022_12_01_Japan_vs_Spain,2022-12-01,World Cup Grp. E,Khalifa International Stadium,Japan,Spain,2,1,1.29,1.12,avg,1.12,1.2,1.45,1.04
2022_12_02_Cameroon_vs_Brazil,2022-12-02,World Cup Grp. G,Lusail Iconic Stadium,Cameroon,Brazil,1,0,0.57,2.55,avg,0.68,2.62,0.47,2.48
2022_12_02_Ghana_vs_Uruguay,2022-12-02,World Cup Grp. H,Al Janoub Stadium,Ghana,Uruguay,0,2,1.45,1.79,avg,1.29,1.78,1.61,1.81
2022_12_02_Serbia_vs_Switzerland,2022-12-02,World Cup Grp. G,Ras Abu Aboud Stadium,Serbia,Switzerland,2,3,1.24,3.19,avg,1.16,3.58,1.32,2.8
2022_12_02_South_Korea_vs_Portugal,2022-12-02,World Cup Grp. H,Education City Stadium,South Korea,Portugal,2,1,1.57,1.19,avg,1.44,1.09,1.71,1.29
2022_12_03_Argentina_vs_Australia,2022-12-03,Round of 16,Ahmed bin Ali Stadium,Argentina,Australia,2,1,2.58,0.6,avg,2.18,0.57,2.98,0.64
2022_12_03_Netherlands_vs_USA,2022-12-03,Round of 16,Khalifa International Stadium,Netherlands,USA,3,1,1.62,1.69,avg,1.58,1.9,1.67,1.49
2022_12_04_England_vs_Senegal,2022-12-04,Round of 16,Al Bayt Stadium,England,Senegal,3,0,1.07,0.91,avg,1.12,1.02,1.02,0.8
2022_12_04_France_vs_Poland,2022-12-04,Round of 16,Al Thumama Stadium,France,Poland,3,1,1.24,1.75,avg,1.11,1.76,1.37,1.75
2022_12_05_Brazil_vs_South_Korea,2022-12-05,Round of 16,Ras Abu Aboud Stadium,Brazil,South Korea,4,1,3.66,0.47,avg,3.71,0.46,3.6,0.48
2022_12_05_Japan_vs_Croatia,2022-12-05,Round of 16,Al Janoub Stadium,Japan,Croatia,1,1,1.42,1.4,avg,1.62,1.34,1.21,1.45
2022_12_06_Morocco_vs_Spain,2022-12-06,Round of 16,Education City Stadium,Morocco,Spain,0,0,0.76,1.01,avg,0.8,1.01,0.72,1.01
2022_12_06_Portugal_vs_Switzerland,2022-12-06,Round of 16,Lusail Iconic Stadium,Portugal,Switzerland,6,1,2.4,0.99,avg,2.44,0.91,2.36,1.07
2022_12_09_Croatia_vs_Brazil,2022-12-09,Quarter-final,Education City Stadium,Croatia,Brazil,1,1,0.55,2.39,avg,0.48,2.23,0.63,2.55
2022_12_09_Netherlands_vs_Argentina,2022-12-09,Quarter-final,Lusail Iconic Stadium,Netherlands,Argentina,2,2,0.45,1.94,avg,0.34,1.95,0.55,1.92
2022_12_10_England_vs_France,2022-12-10,Quarter-final,Al Bayt Stadium,England,France,1,2,2.42,1.11,avg,2.43,1.21,2.41,1.01
2022_12_10_Morocco_vs_Portugal,2022-12-10,Quarter-final,Al Thumama Stadium,Morocco,Portugal,1,0,1.2,1.04,avg,1.0,1.16,1.4,0.92
2022_12_13_Argentina_vs_Croatia,2022-12-13,Semi-final,Lusail Iconic Stadium,Argentina,Croatia,3,0,2.63,0.47,avg,2.92,0.43,2.34,0.52
2022_12_14_France_vs_Morocco,2022-12-14,Semi-final,Al Bayt Stadium,France,Morocco,2,0,2.04,1.09,avg,1.99,1.18,2.1,1.0
2022_12_17_Croatia_vs_Morocco,2022-12-17,Third place,Khalifa International Stadium,Croatia,Morocco,2,1,0.71,1.08,avg,0.76,0.98,0.66,1.19
2022_12_18_Argentina_vs_France,2022-12-18,Final,Lusail Iconic Stadium,Argentina,France,3,3,3.31,2.23,avg,3.4,2.19,3.23,2.27
