match_id,date,team,opponent,side,source,goals,conceded,possession,shots,sot,passes,pass_acc,big_chances,big_missed,saves,fouls,duels_won,xg,corners
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,home,fotmob,0,2,47,5,0,434,81,1,1,1,15,49,0.32,1
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,away,fotmob,2,0,53,6,3,486,85,1,0,0,15,51,1.18,3
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Qatar,Ecuador,home,whoscored,0,2,47,5,0,466,81,1,1,1,15,52,,
2022_11_20_Qatar_vs_Ecuador,2022-11-20,Ecuador,Qatar,away,whoscored,2,0,53,6,3,518,83,1,0,0,15,48,,
2022_11_21_England_vs_Iran,2022-11-21,England,Iran,home,fotmob,6,2,78,13,7,797,90,3,0,1,9,60,2.11,8
2022_11_21_England_vs_Iran,2022-11-21,Iran,England,away,fotmob,2,6,22,8,3,215,66,2,1,1,14,40,1.75,0
2022_11_21_England_vs_Iran,2022-11-21,England,Iran,home,whoscored,6,2,77,13,11,836,89,3,0,2,9,62,,
2022_11_21_England_vs_Iran,2022-11-21,Iran,England,away,whoscored,2,6,23,8,4,246,66,2,1,5,14,38,,
2022_11_21_Senegal_vs_Netherlands,2022-11-21,Senegal,Netherlands,home,fotmob,0,2,47,15,4,385,80,0,0,1,13,54,0.89,6
2022_11_21_Senegal_vs_Netherlands,2022-11-21,Netherlands,Senegal,away,fotmob,2,0,53,10,3,436,81,2,0,4,13,46,0.67,7
2022_11_21_Senegal_vs_Netherlands,2022-11-21,Senegal,Netherlands,home,whoscored,0,2,46,15,8,425,78,0,0,4,13,56,,
2022_11_21_Senegal_vs_Netherlands,2022-11-21,Netherlands,Senegal,away,whoscored,2,0,54,10,6,493,78,2,0,8,13,44,,
2022_11_21_USA_vs_Wales,2022-11-21,USA,Wales,home,fotmob,1,1,59,6,1,567,87,2,1,2,15,47,0.79,5
2022_11_21_USA_vs_Wales,2022-11-21,Wales,USA,away,fotmob,1,1,41,7,3,403,76,3,2,1,10,53,1.55,3
2022_11_21_USA_vs_Wales,2022-11-21,USA,Wales,home,whoscored,1,1,58,6,2,623,84,2,1,3,15,50,,
2022_11_21_USA_vs_Wales,2022-11-21,Wales,USA,away,whoscored,1,1,42,7,4,445,75,3,2,2,10,50,,
2022_11_22_Argentina_vs_Saudi_Arabia,2022-11-22,Argentina,Saudi Arabia,home,fotmob,1,2,69,15,6,596,85,2,1,0,7,64,2.26,9
2022_11_22_Argentina_vs_Saudi_Arabia,2022-11-22,Saudi Arabia,Argentina,away,fotmob,2,1,31,3,2,266,68,0,0,5,21,36,0.15,2
2022_11_22_Argentina_vs_Saudi_Arabia,2022-11-22,Argentina,Saudi Arabia,home,whoscored,1,2,69,15,9,649,84,2,1,1,7,63,,
